Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
IRDM11;Titulos e Val. Mob.;68,45;13,71%;12,35%;0,81;2.493.900.000;4.547.420;0;0;0;0,00%;0,00%
IRIM11;Hibrido;68,32;14,87%;13,38%;0,79;131.174.000;70.761;0;0;0;0,00%;0,00%
ISCJ11;Titulos e Val. Mob.;90;5,71%;0,00%;0,64;28.257.300;184;0;0;0;0,00%;0,00%
ITIP11;Titulos e Val. Mob.;70,43;17,97%;11,14%;0,97;52.692.300;73.830;0;0;0;0,00%;0,00%
ITIT11;Titulos e Val. Mob.;70,98;15,56%;9,93%;0,91;63.917.100;105.354;0;0;0;0,00%;0,00%
ITRI11;Hibrido;80,65;5,97%;6,62%;0,85;504.062.000;2.058.810;0;0;0;0,00%;0,00%
JASC11;Hibrido;103;5,09%;6,53%;0,96;359.402.000;5.926;16;4.279,86;309,43;7,23%;1,32%
JBFO11;Titulos e Val. Mob.;82,01;9,02%;2,71%;1,04;104.897.000;0;0;0;0;0,00%;0,00%
JCCJ11;Titulos e Val. Mob.;155;2,27%;2,67%;0,84;258.618.000;1.097.330;0;0;0;0,00%;0,00%
JCIN11;Titulos e Val. Mob.;151,39;3,98%;1,59%;1;199.489.000;1.461.300;0;0;0;0,00%;0,00%
JFLL11;Residencial;72,79;14,39%;9,58%;0,7;109.229.000;120.066;2;7.393,52;1.284,15;17,37%;9,00%
JGPX11;Hibrido;62,91;18,35%;18,43%;0,68;134.706.000;1.066.280;0;0;0;0,00%;0,00%
JPPA11;Hibrido;81,62;15,47%;13,76%;0,84;73.788.600;213.766;0;0;0;0,00%;0,00%
JPPC11;Hibrido;183,05;-4,40%;0,00%;0,36;10.067.800;12;0;0;0;0,00%;0,00%
JRDM11;Shoppings;85,9;7,97%;0,00%;0,96;216.723.000;0;1;7.394,68;671,49;9,08%;1,19%
JSAF11;Titulos e Val. Mob.;82,7;3,90%;13,23%;0,88;641.118.000;2.141.810;0;0;0;0,00%;0,00%
JSCR11;Titulos e Val. Mob.;87,5;0,00%;0,92%;0,91;193.700.000;233.379;0;0;0;0,00%;0,00%
JSRE11;Hibrido;60,19;8,75%;9,01%;0,55;1.249.990.000;2.104.610;6;10.649,10;1.082,70;10,17%;7,85%
KCRE11;Titulos e Val. Mob.;8,79;13,53%;11,89%;0,89;316.440.000;494.870;0;0;0;0,00%;0,00%
KEVE11;Residencial;1.050,00;0,23%;6,25%;1,52;155.086.000;47.345;1;0;0;0,00%;0,00%
KFOF11;Titulos e Val. Mob.;77,5;7,97%;9,76%;0,85;543.629.000;1.892.060;0;0;0;0,00%;0,00%
KINP11;Residencial;9,82;0,00%;0,00%;0;0;0;1;0;0;0,00%;0,00%
KISU11;Titulos e Val. Mob.;7,18;19,49%;11,55%;0,86;317.328.000;876.886;0;0;0;0,00%;0,00%
KIVO11;Titulos e Val. Mob.;75,89;13,07%;15,06%;0,85;168.683.000;633.070;0;0;0;0,00%;0,00%
KNCA11;Titulos e Val. Mob.;95,28;11,14%;12,55%;0,93;2.058.040.000;4.617.330;0;0;0;0,00%;0,00%
KNCR11;Titulos e Val. Mob.;103,5;9,38%;10,76%;1,02;7.192.140.000;15.496.500;0;0;0;0,00%;0,00%
KNHF11;Hibrido;90,04;7,70%;9,48%;0,91;1.770.480.000;4.882.590;2;22.484,60;312,25;1,39%;0,00%
KNHY11;Titulos e Val. Mob.;101,42;7,21%;12,06%;1,01;2.856.950.000;7.148.500;0;0;0;0,00%;0,00%
KNIP11;Titulos e Val. Mob.;90,87;13,65%;10,48%;0,96;7.276.700.000;10.055.600;0;0;0;0,00%;0,00%
KNRE11;Residencial;0,26;-40,88%;0,00%;0,32;4.822.260;4.278;0;0;0;0,00%;0,00%
KNRI11;Hibrido;136,12;6,93%;8,44%;0,84;3.839.130.000;9.417.860;19;5.100,31;377,68;7,41%;0,16%
KNSC11;Titulos e Val. Mob.;8,68;8,21%;10,84%;0,97;1.168.820.000;4.808.070;0;0;0;0,00%;0,00%
KNUQ11;Titulos e Val. Mob.;102,9;5,03%;11,65%;1,02;1.575.660.000;3.488.810;0;0;0;0,00%;0,00%
KOPA11;Titulos e Val. Mob.;965;6,44%;10,92%;0,97;342.263.000;391.395;0;0;0;0,00%;0,00%
KORE11;Titulos e Val. Mob.;81,86;10,03%;12,03%;0,77;787.903.000;2.768.290;4;12.629,80;855,02;6,77%;1,72%
LASC11;Shoppings;112,2;3,35%;6,46%;0,89;329.901.000;137.052;2;15.762,30;1.377,52;8,74%;2,30%
LATR11B;Residencial;9,51;-16,36%;0,00%;0,9;1.180.230;0;0;0;0;0,00%;0,00%
LFTT11;Residencial;9,29;-33,98%;0,00%;0,43;30.331.800;24.678;107;2.817,11;0,95;0,03%;0,00%
LGCP11;Logistica;82,95;11,25%;8,33%;0,83;374.279.000;67.934;5;3.070,34;375,13;12,22%;0,84%
LIFE11;Outros;9,75;13,36%;14,76%;0,98;226.866.000;730.114;0;0;0;0,00%;0,00%
LLAO11;Hibrido;77,37;-5,39%;3,99%;1,26;27.941.400;0;15;6.397,41;0;0,00%;0,00%
LOFT11B;Residencial;29,9;-1,22%;0,00%;7,38;58.678.800;0;9;35.570,10;47,2;0,13%;0,00%
LPLP11;Residencial;500;9,57%;46,79%;1,37;249.255.000;0;0;0;0;0,00%;0,00%
LSAG11;Titulos e Val. Mob.;74,93;18,89%;17,65%;0,77;75.629.400;105.038;0;0;0;0,00%;0,00%
LSPA11;Outros;29,98;144,70%;57,60%;0,94;12.126.900;16.887;0;0;0;0,00%;0,00%
LTMT11;Residencial;95,19;-2,11%;8,80%;0,99;9.975.060;353;0;0;0;0,00%;0,00%
LUGG11;Residencial;72,82;13,76%;7,27%;0,62;82.338.000;10.519;5;3.137,62;599,54;19,11%;2,33%
LVBI11;Logistica;99,91;8,04%;10,26%;0,8;1.610.410.000;4.149.170;8;21,19;2,28;10,78%;0,00%
MALL11;Hibrido;99,79;19,13%;9,61%;0,84;1.294.570.000;2.146.330;10;3.863,44;518,64;13,42%;3,64%
MANA11;Titulos e Val. Mob.;8,5;3,93%;13,53%;0,91;319.057.000;1.289.670;0;0;0;0,00%;0,00%
MATV11;Titulos e Val. Mob.;86,63;11,42%;0,00%;0,92;36.901.600;0;0;0;0;0,00%;0,00%
MAXR11;Hibrido;67,96;13,13%;19,58%;0,53;76.499.500;501.731;8;1.057,26;162,29;15,35%;23,23%
MBRF11;Outros;679;8,17%;0,00%;0,89;69.029.900;0;2;3.686,43;212,64;5,77%;78,44%
MCCI11;Titulos e Val. Mob.;84,74;11,23%;11,01%;0,91;1.437.190.000;3.865.510;0;0;0;0,00%;0,00%
MCEM11;Titulos e Val. Mob.;109;-0,22%;0,00%;1,82;157.490.000;704;0;0;0;0,00%;0,00%
MCHF11;Titulos e Val. Mob.;9,05;11,76%;3,25%;0,87;292.806.000;0;3;0;0;0,00%;0,00%
MCHY11;Titulos e Val. Mob.;8,58;6,64%;14,60%;0,89;957.519.000;4.756.840;0;0;0;0,00%;0,00%
MFAI11;Hibrido;69,98;8,93%;6,87%;0,98;27.235.200;40.665;0;0;0;0,00%;0,00%
MFCR11;Hibrido;24,35;26,37%;13,24%;0,9;2.464.950;5.639;0;0;0;0,00%;0,00%
MFII11;Hibrido;98,47;5,58%;13,30%;0,91;513.265.000;1.420.150;5;193,34;0;0,00%;0,00%
MGCR11;Titulos e Val. Mob.;9,4;11,11%;0,00%;0,96;126.115.000;0;0;0;0;0,00%;0,00%
MGFF11;Titulos e Val. Mob.;69,99;0,00%;1,47%;0;0;0;0;0;0;0,00%;0,00%
MGHT11;Hibrido;16,85;35,30%;22,84%;0,33;22.137.300;56.089;1;2.107,14;806,17;38,26%;0,00%
MGIM11;Hibrido;101,5;-2,38%;0,00%;1,03;25.101.000;0;0;0;0;0,00%;0,00%
MGLG11;Hibrido;40,99;2,37%;0,00%;0,91;103.703.000;0;1;18.055,30;103,9;0,58%;0,00%
MINT11;Outros;95,73;13,04%;4,69%;0,85;49.779.600;1.210;4;3.324,23;502,98;15,13%;0,00%
MMPD11;Outros;110,61;8,34%;7,54%;0,98;58.623.300;0;0;0;0;0,00%;0,00%
MORC11;Titulos e Val. Mob.;89,87;12,37%;3,42%;0,92;171.455.000;0;0;0;0;0,00%;0,00%
MORE11;Titulos e Val. Mob.;76,21;6,04%;0,91%;0,88;176.740.000;0;0;0;0;0,00%;0,00%
MXRF11;Hibrido;9,22;8,25%;12,10%;0,96;4.032.140.000;17.099.900;3;93.158,10;0;0,00%;0,00%
NAVT11;Titulos e Val. Mob.;76,16;12,04%;17,12%;0,88;46.631.400;114.714;0;0;0;0,00%;0,00%
NCHB11;Titulos e Val. Mob.;8,53;14,05%;14,40%;0,86;130.350.000;264.949;0;0;0;0,00%;0,00%
NCRA11;Titulos e Val. Mob.;8,07;21,41%;14,11%;0,76;35.991.800;74.412;0;0;0;0,00%;0,00%
NCRI11;Titulos e Val. Mob.;9;12,78%;12,78%;0,9;35.550.000;4.938;0;0;0;0,00%;0,00%
NEWL11;Hibrido;102,74;18,51%;10,92%;0,78;289.461.000;301.038;3;2.984,88;487,21;16,32%;0,00%
NEWU11;Hibrido;78,19;1,45%;2,08%;1,09;58.017.000;26.470;3;4.123,02;422,6;10,25%;47,02%
NEXG11;Outros;113,41;2,85%;6,61%;1,18;21.160.600;97.381;0;0;0;0,00%;0,00%
NPAR11;Outros;12,82;213,32%;0,00%;0,7;1.533.140;0;0;0;0;0,00%;0,00%
NSLU11;Hospital;162,96;11,80%;10,87%;0,79;210.754.000;151.532;1;8.595,88;1.083,14;12,60%;0,00%
NVHO11;Hospital;12,3;12,83%;8,48%;0,8;510.383.000;6.797;4;16.511,10;2.192,84;13,28%;0,00%
OBAL11;Residencial;1.213,19;-4,05%;18,64%;1,07;171.398.000;0;8;9.705,22;0;0,00%;0,00%
OCRE11;Titulos e Val. Mob.;98,5;6,80%;8,59%;1;41.664.100;7.776;0;0;0;0,00%;0,00%
OGHY11;Titulos e Val. Mob.;8,72;7,32%;2,03%;0,92;23.678.100;0;0;0;0;0,00%;0,00%
OIAG11;Titulos e Val. Mob.;7,78;15,27%;15,88%;0,78;70.276.700;193.073;0;0;0;0,00%;0,00%
ONEF11;Lajes Corporativas;200,03;6,08%;17,26%;1,09;182.227.000;0;0;0;0;0,00%;0,00%
ORPD11;Titulos e Val. Mob.;93;0,00%;0,00%;0,65;26.970.000;0;0;0;0;0,00%;0,00%
OUCY11;Hibrido;88,5;0,00%;0,00%;0;0;0;8;0;161,02;0,00%;0,00%
OUFF11;Titulos e Val. Mob.;61,1;0,00%;9,31%;0;0;0;0;0;0;0,00%;0,00%
OUJP11;Hibrido;77,85;14,32%;12,83%;0,79;253.198.000;540.824;0;0;0;0,00%;0,00%
OULG11;Logistica;31,43;13,69%;3,18%;0,49;77.986.800;84.630;2;1.039,49;206,48;19,86%;0,00%
OURE11;Hibrido;78,2;0,00%;9,71%;0;0;0;8;0;161,02;0,00%;0,00%
PATA11;Outros;10,4;1,27%;0,00%;1,04;17.700.900;20.273;0;0;0;0,00%;0,00%
PATC11;Lajes Corporativas;33,96;5,47%;12,06%;0,83;118.094.000;52.824;4;15.135,40;1.215,14;8,03%;0,00%
PATL11;Logistica;49,95;14,77%;13,21%;0,51;249.327.000;505.745;4;1.604,42;291,88;18,19%;0,00%
PDDA11B;Logistica;106,5;4,04%;0,00%;1,66;264.257.000;0;2;3.522,29;206,48;5,86%;0,00%
PEMA11;Titulos e Val. Mob.;30;25,72%;16,74%;0,45;16.560.000;622;0;0;0;0,00%;0,00%
PLCA11;Titulos e Val. Mob.;70,69;22,72%;14,63%;0,75;39.375.700;136.482;0;0;0;0,00%;0,00%
PLCR11;Titulos e Val. Mob.;80,2;20,29%;10,96%;0,87;169.155.000;299.822;0;0;0;0,00%;0,00%
PLOG11;Logistica;66,71;15,74%;0,00%;0,61;50.032.500;0;1;695,26;137,02;19,71%;0,00%
PLRI11;Titulos e Val. Mob.;10,9;-5,22%;48,49%;0,54;10.401.900;3.285;0;0;0;0,00%;0,00%
PMFO11;Titulos e Val. Mob.;90,22;0,33%;10,63%;0,99;71.932.000;17.169;0;0;0;0,00%;0,00%
PMIS11;Titulos e Val. Mob.;8,98;5,47%;9,52%;0,96;132.933.000;348.283;0;0;0;0,00%;0,00%
PNCR11;Residencial;61,5;-0,41%;11,70%;0,98;30.750.000;28;1;24.169,80;0;0,00%;0,00%
PNDL11;Titulos e Val. Mob.;1.172,00;-0,24%;0,29%;1,09;169.157.000;1.068;0;0;0;0,00%;0,00%
PNPR11;Hibrido;75,5;10,65%;2,83%;1;67.785.200;6.459;1;3.881,98;581,47;14,98%;0,00%
PNRC11;Hibrido;105,95;6,79%;13,87%;1,05;43.450.100;0;3;9.831,78;0;0,00%;0,00%
PORD11;Titulos e Val. Mob.;7,91;13,62%;13,21%;0,83;294.914.000;565.885;0;0;0;0,00%;0,00%
PQAG11;Logistica;57,86;9,59%;9,02%;1,01;809.571.000;229.889;1;12.823,40;1.177,27;9,18%;0,00%
PQDP11;Shoppings;2.054,50;19,89%;5,93%;0,59;206.603.000;205.514;1;1.569,55;233,37;14,87%;1,67%
PRSN11;Residencial;1,12;-26,55%;13,44%;0,34;3.619.000;512;2;7.050,98;0;0,00%;0,00%
PRSV11;Lajes Corporativas;60,24;-24,53%;0,00%;0,36;12.331.700;2.199;1;1.218,58;0;0,00%;100,00%
PULV11;Titulos e Val. Mob.;9,34;7,51%;1,95%;0,94;112.082.000;111.715;0;0;0;0,00%;0,00%
PURB11;Hibrido;95,1;10,60%;0,00%;0,82;107.954.000;0;2;19.105,20;2.145,74;11,23%;9,70%
PVBI11;Lajes Corporativas;77,8;6,94%;9,52%;0,74;2.110.720.000;8.076.430;7;20.451,10;1.510,51;7,39%;15,55%
QAGR11;Outros;43,8;11,92%;12,18%;0,72;220.752.000;186.006;12;1.530,02;210,49;13,76%;0,00%
QAMI11;Titulos e Val. Mob.;84,68;24,53%;0,00%;0,91;67.862.400;0;0;0;0;0,00%;0,00%
QIFF11;Titulos e Val. Mob.;97,49;7,63%;0,00%;1,09;14.623.500;0;0;0;0;0,00%;0,00%
QIRI11;Titulos e Val. Mob.;78,04;9,53%;0,00%;0,87;11.706.000;0;0;0;0;0,00%;0,00%
QMFF11;Titulos e Val. Mob.;98,52;7,55%;0,00%;1,1;14.778.000;0;0;0;0;0,00%;0,00%
RBBV11;Titulos e Val. Mob.;100;6,51%;0,00%;0,99;125.416.000;0;0;0;0;0,00%;0,00%
RBCO11;Lajes Corporativas;44;12,33%;8,39%;0,49;166.276.000;144.616;4;3.812,31;614,84;16,13%;0,00%
RBDS11;Residencial;3;-49,02%;0,00%;0,16;379.569;431;0;0;0;0,00%;0,00%
RBED11;Outros;114,83;13,53%;18,23%;0,79;270.427.000;215.133;7;2.833,85;394,34;13,92%;0,00%
RBFF11;Titulos e Val. Mob.;51,17;11,90%;11,27%;0,8;191.847.000;541.480;0;0;0;0,00%;0,00%
RBGS11;Shoppings;28,45;3,30%;0,00%;0,31;30.669.100;0;1;1.051,57;52,68;5,01%;11,94%
RBHG11;Titulos e Val. Mob.;79,28;9,96%;11,99%;0,9;171.876.000;340.836;0;0;0;0,00%;0,00%
RBHY11;Titulos e Val. Mob.;82,02;13,32%;13,87%;0,88;155.305.000;228.332;0;0;0;0,00%;0,00%
RBIR11;Residencial;81,66;1,77%;4,18%;0,81;124.827.000;193.100;0;0;0;0,00%;0,00%
RBIV11;Titulos e Val. Mob.;83,7;9,44%;0,00%;0,95;181.458.000;0;0;0;0;0,00%;0,00%
RBLG11;Logistica;62,24;17,91%;13,11%;0,86;39.846.000;1.825;1;355,46;33,54;9,44%;0,00%
RBOP11;Outros;356,5;15,57%;15,03%;0,47;36.243.200;33.329;2;1.935,51;212,64;10,99%;78,44%
RBRD11;Hibrido;36,09;11,41%;9,30%;0,57;66.831.000;53.440;4;2.432,70;362,99;14,92%;27,96%
RBRF11;Titulos e Val. Mob.;6,79;9,99%;9,45%;0,8;928.924.000;2.678.440;0;0;0;0,00%;0,00%
RBRI11;Hibrido;916,82;7,32%;12,11%;0,84;128.048.000;338;0;0;0;0,00%;0,00%
RBRL11;Logistica;73,04;10,70%;10,63%;0,7;488.421.000;530.022;5;1.891,92;264,27;13,97%;0,00%
RBRM11;Titulos e Val. Mob.;160.000,00;-8,41%;0,00%;8,16;86.240.000;0;0;0;0;0,00%;0,00%
RBRP11;Outros;53,76;5,10%;9,65%;0,69;654.753.000;1.006.750;6;10.067,20;649,92;6,46%;0,00%
RBRR11;Titulos e Val. Mob.;84,5;8,79%;10,76%;0,9;1.272.330.000;3.363.930;0;0;0;0,00%;0,00%
RBRS11;Hibrido;41,5;3,77%;1,95%;0,45;71.973.400;41.010;3;6.780,31;558,15;8,23%;80,76%
RBRX11;Titulos e Val. Mob.;8,53;6,74%;12,70%;0,89;251.368.000;953.054;0;0;0;0,00%;0,00%
RBRY11;Titulos e Val. Mob.;92,95;8,66%;11,90%;0,95;1.186.930.000;4.024.910;0;0;0;0,00%;0,00%
RBTS11;Outros;609;-2,85%;2,32%;1,15;34.423.700;7.112;0;0;0;0,00%;0,00%
RBVA11;Outros;96,87;9,43%;10,65%;0,9;1.209.450.000;1.901.740;71;5.868,72;756,97;12,90%;5,39%
RBVO11;Lajes Corporativas;5,43;4,96%;103,22%;0,97;2.800.920;82.302;0;0;0;0,00%;0,00%
RCFF11;Titulos e Val. Mob.;103;1,53%;1,74%;0,83;33.289.600;60;0;0;0;0,00%;0,00%
RCRB11;Lajes Corporativas;128,7;3,89%;8,93%;0,63;474.992.000;1.346.170;9;11.787,30;1.123,58;9,53%;1,77%
RCRI11B;Hibrido;1.200,00;4,39%;0,00%;1,16;61.214.400;0;0;0;0;0,00%;0,00%
RDES11;Hibrido;58;1,95%;0,00%;0,81;43.036.000;0;3;3.058,38;422,6;13,82%;47,02%
RDPD11;Titulos e Val. Mob.;22,96;2,98%;0,00%;2,16;172.391.000;0;0;0;0;0,00%;0,00%
RECR11;Titulos e Val. Mob.;78,8;12,86%;12,04%;0,85;2.083.600.000;3.119.250;1;39.340,10;0;0,00%;100,02%
RECT11;Hibrido;30;16,19%;14,20%;0,33;256.305.000;337.619;9;3.365,08;796,97;23,68%;10,08%
RECX11;Titulos e Val. Mob.;67,99;10,99%;7,84%;0,93;14.843.100;8.776;0;0;0;0,00%;0,00%
REIT11;Titulos e Val. Mob.;90,06;10,08%;13,74%;0,32;2.367.770;191;0;0;0;0,00%;0,00%
RELG11;Hibrido;61,3;8,77%;1,07%;0,48;81.808.600;119.571;5;1.146,15;177,23;15,46%;10,03%
RFOF11;Titulos e Val. Mob.;65,35;9,94%;12,45%;0,88;70.458.000;85.621;0;0;0;0,00%;0,00%
RINV11;Titulos e Val. Mob.;105,46;5,64%;11,70%;1,01;204.450.000;610.749;0;0;0;0,00%;0,00%
RMAI11;Hibrido;75,49;0,90%;6,52%;0,74;184.482.000;45.301;2;4.424,07;210,72;4,76%;18,27%
RNDP11;Titulos e Val. Mob.;40,08;-3,50%;124,31%;0,64;4.307.840;12.951;0;0;0;0,00%;0,00%
RNGO11;Lajes Corporativas;48,4;9,82%;9,02%;0,58;129.518.000;150.425;4;2.258,76;294,7;13,05%;14,63%
ROOF11;Outros;727,2;-7,35%;0,00%;1,44;56.354.400;0;60;3.154,96;15;0,48%;0,00%
RPRI11;Titulos e Val. Mob.;85,81;10,02%;13,13%;0,86;297.909.000;526.230;0;0;0;0,00%;0,00%
RRCI11;Titulos e Val. Mob.;70,16;14,01%;13,79%;0,77;33.800.100;48.810;0;0;0;0,00%;0,00%
RSPD11;Residencial;1.059,99;-1,98%;2,97%;0,96;157.950.000;501;0;0;0;0,00%;0,00%
RURA11;Titulos e Val. Mob.;7,98;13,31%;14,12%;0,79;1.277.590.000;5.965.780;0;0;0;0,00%;0,00%
RVBI11;Titulos e Val. Mob.;69,19;5,79%;12,08%;0,87;710.997.000;1.674.540;0;0;0;0,00%;0,00%
RZAG11;Titulos e Val. Mob.;8;24,50%;14,98%;0,84;544.323.000;1.899.250;0;0;0;0,00%;0,00%
RZAK11;Titulos e Val. Mob.;80,79;15,43%;14,72%;0,91;711.589.000;2.468.470;0;0;0;0,00%;0,00%
RZAT11;Hibrido;90,5;-60,15%;13,37%;0,9;383.271.000;1.866.670;13;1.114,92;108,66;9,75%;3,26%
RZDM11;Hibrido;550,16;19,74%;0,00%;4,15;88.025.600;0;4;61.028,80;0;0,00%;0,00%
RZEO11;Outros;237,68;12,48%;4,83%;1,04;749.387.000;86;0;0;0;21,82%;0,00%
RZTR11;Hibrido;86,2;14,18%;12,38%;0,88;1.625.020.000;5.081.040;17;2,42;0,35;14,27%;24,40%
RZZR11;Outros;140;6,80%;0,00%;0,85;673.844.000;17.690;8;1.585,58;111,49;7,03%;0,00%
SADI11;Titulos e Val. Mob.;8,62;136,67%;11,99%;0,09;13.349.700;424.068;0;0;0;0,00%;0,00%
SAIC11B;Lajes Corporativas;34;-2,88%;0,00%;0,62;48.611.200;0;1;4.368,69;54,98;1,26%;100,00%
SAPI11;Titulos e Val. Mob.;8,64;82,89%;10,92%;0,09;13.337.400;337.988;0;0;0;0,00%;0,00%
SARE11;Hibrido;3,94;123,71%;9,34%;0,05;36.383.300;834.868;3;180,37;267,3;148,20%;0,00%
SCPF11;Hibrido;1,98;7,88%;4,63%;0,17;8.316.000;3.942;1;1.748,47;686,28;39,25%;33,90%
SDIL11;Logistica;96,5;5,95%;0,00%;0,97;746.822.000;0;6;1.882,08;290,96;15,46%;0,00%
SDIP11;Lajes Corporativas;88;1,85%;0,00%;0,9;371.533.000;0;5;10.987,90;988,41;9,00%;0,00%
SEED11;Hibrido;100,12;10,38%;10,38%;1,09;164.197.000;22.755;0;0;0;0,00%;0,00%
SEQR11;Outros;50,4;15,02%;13,86%;0,54;83.951.000;121.850;4;1.988,19;357,06;17,96%;0,00%
SHDP11B;Shoppings;1.210,05;9,77%;7,37%;0,85;1.439.630.000;0;1;10.981,50;1.218,53;11,10%;1,67%
SHOP11;Hibrido;54,49;-0,79%;0,00%;1,37;80.714.200;33;1;3.355,99;242,52;7,23%;18,13%
SHPH11;Shoppings;863,55;6,58%;6,90%;0,94;525.859.000;167.572;1;14.994,10;1.221,93;8,15%;3,89%
SIGR11;Titulos e Val. Mob.;99,9;8,09%;5,15%;1;67.974.600;0;0;0;0;0,00%;0,00%
SJAU11;Logistica;51,1;23,03%;19,06%;0,81;405.338.000;1.210;0;0;0;0,00%;0,00%
SMRE11;Outros;100;-0,07%;4,13%;0,91;44.787.000;576.568;0;0;0;0,00%;0,00%
SNAG11;Hibrido;9,7;9,69%;12,01%;0,96;560.246.000;1.672.590;3;134,95;9,78;7,25%;0,00%
SNCI11;Titulos e Val. Mob.;88,73;12,59%;12,20%;0,9;372.666.000;833.555;0;0;0;0,00%;0,00%
SNCR11;Hibrido;97,8;7,17%;0,00%;0,99;472.992.000;0;0;0;0;0,00%;0,00%
SNEL11;Hibrido;8,75;3,08%;11,49%;1,24;165.359.000;891.124;1;0;0;0,09%;0,00%
SNFF11;Titulos e Val. Mob.;83,99;7,81%;12,00%;0,97;250.831.000;530.988;0;0;0;0,00%;0,00%
SNFZ11;Hibrido;10,02;0,06%;0,54%;1;62.124.000;244.578;2;40.885,20;0;0,00%;0,00%
SNLG11;Hibrido;29,77;3,26%;5,41%;0,66;75.317.100;270.644;1;13.113,10;103,9;0,79%;0,00%
SNME11;Hibrido;9,16;8,55%;10,96%;0,95;67.951.100;44.918;0;0;0;0,00%;0,00%
SOLR11;Hibrido;1.051,35;-1,57%;0,00%;1,13;67.778.400;0;1;7.723,95;0;0,00%;0,00%
SPDE11;Residencial;1.237,90;-0,38%;5,00%;1,16;113.144.000;29.260;0;0;0;0,00%;0,00%
SPMO11;Hibrido;144;-0,12%;0,00%;1,08;260.770.000;0;0;0;0;0,00%;0,00%
SPTW11;Lajes Corporativas;32,07;20,21%;15,38%;0,56;57.661.900;92.074;1;4.033,12;969,32;24,03%;0,00%
SPXS11;Hibrido;9,13;9,79%;11,74%;0,96;184.326.000;537.034;0;0;0;0,00%;0,00%
SRVD11;Titulos e Val. Mob.;3;-0,17%;0,00%;5,51;288.858.000;0;0;0;0;0,00%;0,00%
STRX11;Hibrido;168;8,60%;5,42%;1,14;271.078.000;0;3;3.646,01;329,29;9,03%;4,40%
TBOF11;Lajes Corporativas;101,5;-0,11%;0,00%;486,34;1.020.080.000;0;1;0;0;0,00%;15,37%
TEPP11;Lajes Corporativas;84,75;1,92%;11,49%;0,87;357.812.000;986.006;5;10.582,10;988,41;9,34%;0,00%
TGAR11;Hibrido;99,6;11,34%;14,37%;0,89;2.347.370.000;11.971.200;5;65,14;0,89;1,36%;0,00%
THRA11;Lajes Corporativas;138,5;2,96%;0,00%;14,52;203.973.000;0;0;0;0;0,00%;0,00%
TJKB11;Lajes Corporativas;281;8,34%;11,06%;1,04;276.955.000;2.197;7;12.019,50;944,41;7,86%;0,00%
TMPS11;Titulos e Val. Mob.;81,52;9,67%;13,56%;0,84;79.805.500;300.650;0;0;0;0,00%;0,00%
TORD11;Hibrido;0,99;-0,43%;0,00%;0,15;34.700.800;77.540;1;0;0;0,00%;0,00%
TOUR11;Residencial;8,8;0,00%;0,00%;0;0;0;3;0;0;0,00%;0,00%
TRBL11;Logistica;64,99;8,83%;14,13%;0,65;502.964.000;1.848.270;6;1.267,52;290,96;22,95%;0,00%
TRNT11;Lajes Corporativas;114;4,99%;1,46%;0,56;448.654.000;31.571;1;7.053,29;610,47;8,66%;42,50%
TRXB11;Hibrido;134,01;7,30%;9,70%;1,12;457.490.000;3.511;15;1.256,92;190,63;15,17%;0,00%
TRXF11;Hibrido;99,9;-2,98%;11,18%;0,96;2.001.550.000;6.127.030;29;3.981,75;392,12;9,85%;0,00%
TRXL11;Hibrido;103,38;4,72%;0,00%;0,99;4.471.100.000;0;21;3.515,25;235,69;6,70%;2,43%
TSER11;Lajes Corporativas;100;10,92%;11,03%;1,01;138.476.000;0;1;2.763,37;245,83;8,90%;0,00%
TSNC11;Hibrido;1;-692,08%;145766,00%;0,01;1.086.780;0;1;84,99;112,87;132,81%;100,00%
TVRI11;Lajes Corporativas;93,93;11,37%;11,57%;0,93;1.495.340.000;1.195.490;62;3.734,07;501,92;13,44%;4,57%
UBSR11;Titulos e Val. Mob.;102,5;9,88%;0,00%;1,1;2.710.270.000;0;1;51.172,10;0;0,00%;100,02%
URHF11;Titulos e Val. Mob.;121,8;3,99%;2,01%;1,25;13.448.800;4.743;0;0;0;0,00%;0,00%
URPR11;Outros;65,15;15,63%;17,62%;0,64;764.463.000;2.180.350;0;0;0;0,00%;0,00%
VCJR11;Titulos e Val. Mob.;86,5;14,52%;11,92%;0,91;1.273.620.000;2.316.590;0;0;0;0,00%;0,00%
VCRA11;Titulos e Val. Mob.;65,67;22,17%;17,47%;0,63;301.683.000;941.830;0;0;0;0,00%;0,00%
VCRI11;Titulos e Val. Mob.;7,53;13,10%;13,79%;0,79;133.833.000;257.338;0;0;0;0,00%;0,00%
VCRR11;Logistica;64,58;11,85%;11,59%;0,49;129.160.000;238.000;4;2.285,87;288,42;12,62%;0,00%
VERE11;Outros;445,76;6,71%;5,77%;0,93;282.130.000;0;4;1.719,43;189,85;11,04%;16,52%
VGHF11;Titulos e Val. Mob.;7,86;5,26%;13,19%;0,88;1.294.710.000;4.053.380;0;0;0;0,00%;0,00%
VGIA11;Titulos e Val. Mob.;8,3;15,76%;14,54%;0,89;717.577.000;2.186.320;0;0;0;0,00%;0,00%
